,Name,Team,GP,MPG,ORPM,DRPM,RPM,WINS
332,"Earl Watson, PG",POR,24,6.7,-1.98,-0.27,-2.25,0.01
333,"Cody Zeller, C",CHA,82,17.3,-3.04,0.79,-2.25,0.09
334,"Jamaal Franklin, SG",MEM,21,7.7,-1.45,-0.81,-2.26,0.01
335,"Rudy Gobert, C",UTAH,45,9.6,-4.05,1.79,-2.26,0.02
336,"Jeremy Evans, SF",UTAH,66,18.3,-2.78,0.50,-2.28,0.05
337,"Khris Middleton, SF",MIL,82,30.0,1.22,-3.50,-2.28,0.10
338,"Marcus Thornton, SG",BKN/SAC,72,24.2,0.05,-2.34,-2.29,0.06
339,"Phil Pressey, PG",BOS,75,15.1,-1.12,-1.17,-2.29,0.04
340,"Seth Curry, SG",CLE/MEM,2,6.5,-1.26,-1.04,-2.30,0.00
341,"D.J. Stephens, SG",MIL,3,5.0,-1.51,-0.79,-2.30,0.00
342,"Omri Casspi, SF",HOU,71,18.1,-2.64,0.33,-2.31,0.03
343,"Austin Daye, SF",SA/TOR,22,6.7,-1.94,-0.37,-2.31,0.00
344,"Carl Landry, PF",SAC,18,12.9,-1.23,-1.11,-2.34,0.00
345,"Chauncey Billups, PG",DET,19,16.3,-0.62,-1.76,-2.38,-0.01
346,"Alan Anderson, SG",BKN,78,22.7,-1.16,-1.22,-2.38,-0.03
347,"Charlie Villanueva, PF",DET,20,9.0,-1.46,-0.93,-2.39,0.00
348,"Ish Smith, PG",PHX,70,14.4,-3.32,0.92,-2.40,-0.03
349,"Willie Green, SG",LAC,55,15.8,-1.30,-1.11,-2.41,-0.03
350,"Jeff Green, SF",BOS,82,34.2,-2.14,-0.27,-2.41,-0.11
351,"Melvin Ely, C",NO,2,13.5,-1.81,-0.63,-2.44,0.00
352,"Reggie Evans, C",BKN/SAC,54,16.6,-2.59,0.15,-2.44,-0.05
353,"Austin Rivers, PG",NO,69,19.4,0.56,-3.03,-2.47,-0.10
354,"Robert Sacre, C",LAL,65,16.8,-2.56,0.06,-2.50,-0.11
355,"Shane Larkin, PG",DAL,48,10.2,-1.45,-1.08,-2.53,-0.05
356,"Andris Biedrins, C",UTAH,6,7.5,-5.11,2.56,-2.55,-0.01
357,"Mustafa Shakur, PG",OKC,3,3.7,-1.63,-0.92,-2.55,0.00
358,"Dewayne Dedmon, C",GS/ORL/PHI,31,12.6,-2.87,0.32,-2.55,-0.05
359,"Ed Davis, PF",MEM,63,15.2,-3.95,1.38,-2.57,-0.13
360,"Gerald Henderson, SG",CHA,77,32.0,-1.66,-0.96,-2.62,-0.39
361,"James Nunnally, SF",ATL/PHI,13,12.7,-2.36,-0.33,-2.69,-0.04
362,"Jonas Valanciunas, C",TOR,81,28.2,-2.30,-0.40,-2.70,-0.48
363,"Reggie Bullock, SF",LAC,43,9.2,-3.18,0.46,-2.72,-0.09
364,"Mo Williams, PG",POR,74,24.8,0.21,-2.94,-2.73,-0.43
365,"Jordan Crawford, SG",BOS/GS,81,23.0,-0.24,-2.49,-2.73,-0.45
366,"Derrick Williams, PF",MIN/SAC,78,23.3,-2.05,-0.68,-2.73,-0.43
367,"Miroslav Raduljica, C",MIL,48,9.7,-2.47,-0.27,-2.74,-0.11
368,"Brandon Rush, SG",UTAH,38,11.0,-0.76,-2.02,-2.78,-0.11
369,"Dionte Christmas, SG",PHX,31,6.4,-1.31,-1.47,-2.78,-0.05
370,"Cartier Martin, PF",ATL/CHI,59,14.7,-2.28,-0.51,-2.79,-0.24
371,"Evan Turner, SG",IND/PHI,81,30.3,-1.51,-1.28,-2.79,-0.70
372,"Chris Babb, SG",BOS,14,9.4,-2.34,-0.46,-2.80,-0.04
373,"Julyan Stone, PG",TOR,21,5.7,-1.45,-1.37,-2.82,-0.03
374,"Jerryd Bayless, PG",BOS/MEM,72,23.4,0.84,-3.68,-2.84,-0.50
375,"O.J. Mayo, SG",MIL,52,25.9,-1.50,-1.35,-2.85,-0.41
376,"Ronnie Price, PG",ORL,31,12.2,-3.09,0.21,-2.88,-0.12
377,"Harrison Barnes, SF",GS,78,28.3,-2.40,-0.48,-2.88,-0.74
378,"Tyler Hansbrough, PF",TOR,64,15.3,-2.93,0.04,-2.89,-0.32
379,"Eric Gordon, SG",NO,64,32.1,1.85,-4.75,-2.90,-0.70
380,"Tyreke Evans, SG",NO,72,28.2,0.76,-3.72,-2.96,-0.75
381,"Bernard James, C",DAL,30,4.9,-3.15,0.19,-2.96,-0.06
382,"Jordan Farmar, PG",LAL,41,22.2,0.64,-3.63,-2.99,-0.38
383,"Luis Scola, PF",IND,82,17.1,-3.58,0.55,-3.03,-0.58
384,"Jordan Hamilton, SG",DEN/HOU,60,17.0,-1.81,-1.22,-3.03,-0.45
385,"Mason Plumlee, C",BKN,70,18.2,-1.42,-1.62,-3.04,-0.53
386,"Michael Carter-Williams, PG",PHI,70,34.5,-0.95,-2.10,-3.05,-1.11
387,"Norris Cole, PG",MIA,82,24.6,-1.32,-1.74,-3.06,-0.84
388,"Richard Jefferson, SF",UTAH,82,27.0,-1.93,-1.14,-3.07,-0.96
389,"Keith Bogans, SG",BOS,6,9.2,-2.24,-0.83,-3.07,-0.02
390,"Travis Outlaw, SF",SAC,63,16.9,-2.33,-0.76,-3.09,-0.49
391,"Kevin Seraphin, C",WSH,53,10.9,-4.77,1.68,-3.09,-0.26
392,"Nazr Mohammed, C",CHI,80,7.0,-4.80,1.68,-3.12,-0.24
393,"Aaron Brooks, PG",DEN/HOU,72,21.6,0.70,-3.84,-3.14,-0.79
394,"Marco Belinelli, SG",SA,80,25.2,0.46,-3.63,-3.17,-1.04
395,"Brandon Knight, PG",MIL,72,33.3,-1.20,-1.98,-3.18,-1.21
396,"Arron Afflalo, SG",ORL,73,35.0,-0.24,-2.95,-3.19,-1.30
397,"Jarrett Jack, PG",CLE,80,28.2,-1.59,-1.61,-3.20,-1.16
398,"J.J. Barea, PG",MIN,79,18.6,-1.90,-1.33,-3.23,-0.81
399,"Alex Len, C",PHX,42,8.6,-3.02,-0.23,-3.25,-0.21
400,"Jordan Hill, C",LAL,72,20.8,-2.82,-0.47,-3.29,-0.91
401,"Nando De Colo, PG",SA/TOR,47,10.5,-1.82,-1.50,-3.32,-0.29
402,"Trevor Booker, PF",WSH,72,21.6,-0.44,-2.90,-3.34,-0.92
403,"Chris Singleton, SF",WSH,25,10.0,-5.04,1.69,-3.35,-0.15
404,"Ognjen Kuzmic, C",GS,21,4.4,-2.57,-0.92,-3.49,-0.07
405,"Otto Porter Jr., SF",WSH,37,8.6,-2.69,-0.80,-3.49,-0.21
406,"Gorgui Dieng, C",MIN,60,13.6,-3.73,0.18,-3.55,-0.63
407,"Jorge Gutierrez, PG",BKN,15,16.3,-2.15,-1.42,-3.57,-0.18
408,"Steven Adams, C",OKC,81,14.8,-3.35,-0.30,-3.65,-0.99
409,"JaVale McGee, C",DEN,5,16.0,-3.16,-0.50,-3.66,-0.07
410,"Cory Joseph, PG",SA,68,13.8,-0.74,-2.94,-3.68,-0.78
411,"Hollis Thompson, SF",PHI,77,22.6,-0.22,-3.46,-3.68,-1.50
412,"Brian Roberts, PG",NO,72,23.2,-1.45,-2.33,-3.78,-1.45
413,"Andrew Nicholson, PF",ORL,76,15.4,-4.79,1.00,-3.79,-1.03
414,"Udonis Haslem, PF",MIA,46,14.2,-4.81,1.01,-3.80,-0.55
415,"Vitor Faverani, C",BOS,37,13.2,-4.32,0.50,-3.82,-0.44
416,"D.J. Augustin, PG",CHI/TOR,71,27.3,0.03,-3.88,-3.85,-1.70
417,"Aaron Gray, C",SAC/TOR,37,9.6,-4.35,0.46,-3.89,-0.33
418,"Thomas Robinson, PF",POR,70,12.5,-2.34,-1.55,-3.89,-0.82
419,"Doron Lamb, SG",ORL,53,13.1,-1.61,-2.29,-3.90,-0.65
420,"Peyton Siva, PG",DET,24,9.3,-1.41,-2.53,-3.94,-0.21
421,"Jannero Pargo, PG",CHA,29,8.3,-1.13,-2.84,-3.97,-0.24
422,"Brandon Jennings, PG",DET,80,34.1,0.39,-4.37,-3.98,-2.82
423,"Bismack Biyombo, C",CHA,77,13.9,-3.90,-0.11,-4.01,-1.06
424,"Luke Ridnour, PG",MIL/CHA,61,18.7,-1.26,-2.76,-4.02,-1.13
425,"Diante Garrett, PG",UTAH,71,14.8,-2.71,-1.41,-4.12,-1.12
426,"Carlos Boozer, PF",CHI,76,28.2,-4.11,-0.02,-4.13,-2.28
427,"John Lucas III, PG",UTAH,42,14.1,-2.38,-1.75,-4.13,-0.64
428,"Erik Jay Murphy, PF",CHI,24,2.6,-3.47,-0.66,-4.13,-0.07
429,"Arnett Moultrie, PF",PHI,12,15.6,-1.94,-2.21,-4.15,-0.23
430,"E'Twaun Moore, SG",ORL,79,19.1,-2.99,-1.21,-4.20,-1.71
431,"Rasual Butler, SF",IND,50,7.6,-2.30,-1.93,-4.23,-0.43
432,"Greg Oden, C",MIA,23,9.2,-3.60,-0.66,-4.26,-0.25
433,"Gal Mekel, PG",DAL,31,9.4,-1.67,-2.60,-4.27,-0.36
434,"Jan Vesely, PF",DEN/WSH,54,14.4,-4.44,0.14,-4.30,-0.95
435,"Kendrick Perkins, C",OKC,62,19.5,-7.25,2.94,-4.31,-1.51
436,"Isaiah Canaan, PG",HOU,22,11.5,-1.25,-3.06,-4.31,-0.33
437,"Wesley Johnson, SF",LAL,79,28.4,-3.54,-0.83,-4.37,-3.01
438,"Mike Muscala, PF",ATL,20,10.8,-3.20,-1.18,-4.38,-0.28
439,"Jeffery Taylor, SF",CHA,26,24.2,-3.58,-0.82,-4.40,-0.80
