,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Shareef Abdur-Rahim,492,.482,1020,9,.265,34,174,27,37,450,501,.475,1054,373,.869,429,85,56,2684,189,222,1384,PF,68,184,639,TOT,.480
1,Malik Allen,83,.419,198,0,,0,16,25,28,77,83,.419,198,25,.758,33,45,6,616,42,81,191,PF,12,27,119,MIA,.419
2,Ray Allen,299,.468,639,148,.392,378,268,28,11,217,447,.440,1017,245,.904,271,56,56,2152,69,132,1287,SG,71,156,286,SEA,.512
3,Rafer Alston,126,.382,330,161,.371,434,372,27,18,200,287,.376,764,103,.769,134,82,28,2581,26,212,838,PG,114,128,226,MIA,.481
4,Chris Andersen,90,.446,202,0,.000,1,35,25,114,209,90,.443,203,63,.589,107,71,0,1029,89,119,243,PF,34,48,298,DEN,.443
5,Derek Anderson,151,.428,353,79,.305,259,228,29,3,156,230,.376,612,155,.824,188,51,46,1810,26,79,694,SG,66,90,182,POR,.440
6,Kenny Anderson,112,.444,252,1,.250,4,125,33,5,62,113,.441,256,35,.729,48,44,31,905,19,73,262,PG,26,50,81,IND,.443
7,Shandon Anderson,202,.463,436,36,.281,128,122,30,17,169,238,.422,564,123,.764,161,80,37,1974,53,182,635,SG,68,118,222,NYK,.454
8,Carmelo Anthony,555,.444,1251,69,.322,214,227,19,41,315,624,.426,1465,408,.777,525,82,82,2995,183,225,1725,SF,97,247,498,DEN,.449
9,Robert Archibald,9,.273,33,0,,0,13,23,3,31,9,.273,33,14,.452,31,32,3,256,21,50,32,C-PF,14,10,52,TOT,.273
10,Gilbert Arenas,233,.401,581,125,.375,333,275,22,12,199,358,.392,914,237,.748,317,55,52,2066,55,176,1078,PG,103,226,254,WAS,.460
11,Brandon Armstrong,46,.374,123,19,.365,52,14,23,2,31,65,.371,175,2,.500,4,56,0,434,12,49,151,SG,12,24,43,NJN,.426
12,Darrell Armstrong,156,.508,307,135,.315,429,311,35,16,163,291,.395,736,123,.854,144,79,22,2247,63,148,840,PG,133,155,226,NOH,.487
13,Carlos Arroyo,301,.462,651,38,.325,117,355,24,5,144,339,.441,768,181,.804,225,71,71,2008,41,165,897,PG,63,156,185,UTA,.466
14,Chucky Atkins,111,.457,243,81,.336,241,223,29,2,84,192,.397,484,73,.753,97,64,24,1544,9,102,538,PG,45,92,93,TOT,.480
15,Stacey Augmon,142,.418,340,1,.143,7,85,35,15,122,143,.412,347,110,.791,139,69,24,1416,52,114,397,SF,55,76,174,NOH,.414
16,Vin Baker,207,.483,429,1,.333,3,66,32,32,168,208,.481,432,114,.726,157,54,33,1313,112,160,531,PF,29,77,280,TOT,.483
17,Marcus Banks,150,.421,356,27,.314,86,175,22,13,103,177,.400,442,99,.756,131,81,2,1385,30,171,480,PG,88,125,133,BOS,.431
18,Leandro Barbosa,127,.488,260,83,.395,210,165,21,7,100,210,.447,470,47,.770,61,70,46,1500,23,184,550,PG,93,120,123,PHO,.535
19,Matt Barnes,61,.488,125,2,.154,13,48,23,3,98,63,.457,138,43,.705,61,38,9,724,53,76,171,SF,27,44,151,LAC,.464
20,Dana Barros,2,.667,3,0,,0,0,36,0,0,2,.667,3,2,1.000,2,1,0,11,0,2,6,SG,0,0,0,BOS,.667
21,Brent Barry,101,.577,175,114,.452,252,342,32,16,183,215,.504,427,91,.827,110,59,53,1803,21,121,635,SG,85,139,204,SEA,.637
22,Jon Barry,69,.434,159,51,.370,138,147,34,8,98,120,.404,297,60,.845,71,57,9,1101,25,66,351,SG,57,53,123,DEN,.490
23,Mengke Bateer,4,.571,7,0,,0,1,28,0,3,4,.571,7,0,,0,7,0,40,5,10,8,C,1,2,8,TOR,.571
24,Tony Battie,168,.448,375,2,.222,9,58,27,67,241,170,.443,384,66,.742,89,73,7,1478,118,159,408,C,26,63,359,TOT,.445
25,Shane Battier,177,.496,357,65,.349,186,101,25,58,201,242,.446,543,120,.732,164,79,1,1947,102,187,669,SF,101,56,303,MEM,.506
26,Lonny Baxter,102,.495,206,1,.333,3,20,25,29,123,103,.493,209,44,.579,76,62,5,766,64,123,251,C-PF,17,38,187,TOT,.495
27,Jerome Beasley,1,.333,3,0,,0,0,23,0,1,1,.333,3,0,,0,2,0,5,0,0,2,PF,0,0,1,MIA,.333
28,Raja Bell,267,.418,639,62,.373,166,107,27,13,181,329,.409,805,195,.786,248,82,4,2020,60,262,915,SG,63,111,241,UTA,.447
29,Troy Bell,4,.286,14,0,.000,4,4,23,0,1,4,.222,18,3,1.000,3,6,0,34,3,6,11,PG,1,6,4,MEM,.222
30,Jonathan Bender,41,.488,84,9,.409,22,9,23,11,31,50,.472,106,39,.830,47,21,0,271,9,23,148,SF,5,33,40,IND,.514
31,Travis Best,61,.401,152,3,.150,20,112,31,4,51,64,.372,172,40,.870,46,61,1,762,17,66,171,PG,31,33,68,DAL,.381
32,Mike Bibby,379,.479,792,148,.392,378,444,25,18,210,527,.450,1170,304,.815,373,82,82,2980,67,146,1506,PG,112,175,277,SAC,.514
33,Chauncey Billups,262,.396,661,130,.388,335,446,27,8,241,392,.394,996,404,.878,460,78,78,2758,35,177,1318,PG,84,189,276,DET,.459
34,Steve Blake,82,.400,205,75,.371,202,209,23,7,99,157,.386,407,55,.821,67,75,14,1392,18,100,444,PG,57,128,117,WAS,.478
35,Corie Blount,115,.460,250,0,.000,3,55,35,24,177,115,.455,253,15,.556,27,62,3,1050,98,135,245,PF-C,49,43,275,TOT,.455
