,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Alex Abrines,40,.426,94,94,.381,247,40,23,8,68,134,.393,341,44,.898,49,68,6,1055,18,114,406,SG,37,33,86,OKC,.531
1,Quincy Acy,33,.413,80,37,.411,90,18,26,15,95,70,.412,170,45,.750,60,38,1,558,20,67,222,PF,14,21,115,TOT,.521
2,Steven Adams,374,.572,654,0,.000,1,86,23,78,332,374,.571,655,157,.611,257,80,80,2389,281,195,905,C,89,146,613,OKC,.571
3,Arron Afflalo,123,.457,269,62,.411,151,78,31,6,116,185,.440,420,83,.892,93,61,45,1580,9,104,515,SG,21,42,125,SAC,.514
4,Alexis Ajinca,89,.511,174,0,.000,4,12,28,22,131,89,.500,178,29,.725,40,39,15,584,46,77,207,C,20,31,177,NOP,.500
5,Cole Aldrich,45,.523,86,0,,0,25,28,23,107,45,.523,86,15,.682,22,62,0,531,51,85,105,C,25,17,158,MIN,.523
6,LaMarcus Aldridge,477,.480,993,23,.411,56,139,31,88,351,500,.477,1049,220,.812,271,72,72,2335,172,158,1243,PF,46,98,523,SAS,.488
7,Lavoy Allen,77,.461,167,0,.000,1,57,27,24,114,77,.458,168,23,.697,33,61,5,871,105,78,177,PF,18,29,219,IND,.458
8,Tony Allen,259,.479,541,15,.278,54,98,35,29,225,274,.461,595,80,.615,130,71,66,1914,166,178,643,SG,115,100,391,MEM,.473
9,Al-Farouq Aminu,113,.445,254,70,.330,212,99,26,44,374,183,.393,466,96,.706,136,61,25,1773,77,102,532,SF,60,94,451,POR,.468
10,Chris Andersen,9,.474,19,0,.000,3,5,38,7,22,9,.409,22,10,.714,14,12,0,114,9,20,28,C,5,5,31,CLE,.409
11,Alan Anderson,16,.444,36,14,.318,44,11,34,0,21,30,.375,80,12,.750,16,30,0,308,3,35,86,SF,3,7,24,LAC,.463
12,Justin Anderson,128,.522,245,58,.299,194,66,23,23,176,186,.424,439,102,.791,129,75,10,1228,69,109,532,SF,41,66,245,TOT,.490
13,Kyle Anderson,78,.462,169,15,.375,40,91,23,26,175,93,.445,209,45,.789,57,72,14,1020,33,63,246,SG,51,39,208,SAS,.481
14,Ryan Anderson,119,.446,267,204,.403,506,68,28,14,218,323,.418,773,129,.860,150,72,72,2116,112,142,979,PF,31,55,330,HOU,.550
15,Giannis Antetokounmpo,607,.563,1079,49,.272,180,434,22,151,558,656,.521,1259,471,.770,612,80,80,2845,142,246,1832,SF,131,234,700,MIL,.541
16,Carmelo Anthony,451,.466,968,151,.359,421,213,32,34,376,602,.433,1389,304,.833,365,74,74,2538,62,198,1659,SF,60,153,438,NYK,.488
17,Joel Anthony,10,.625,16,0,,0,3,34,6,23,10,.625,16,5,.625,8,19,0,122,8,11,25,C,2,4,31,SAS,.625
18,Trevor Ariza,135,.556,243,191,.344,555,175,31,20,404,326,.409,798,93,.738,126,80,80,2773,54,133,936,SF,147,73,458,HOU,.528
19,Darrell Arthur,42,.429,98,53,.453,117,42,28,21,87,95,.442,215,19,.864,22,41,7,639,25,76,262,PF,19,36,112,DEN,.565
20,Omer Asik,31,.477,65,0,,0,15,30,10,115,31,.477,65,23,.590,39,31,19,482,48,51,85,C,5,14,163,NOP,.477
21,D.J. Augustin,100,.412,243,95,.347,274,209,29,1,102,195,.377,517,131,.814,161,78,20,1538,15,101,616,PG,31,90,117,ORL,.469
22,Luke Babbitt,26,.366,71,87,.414,210,36,27,11,129,113,.402,281,11,.733,15,68,55,1065,12,118,324,SF,20,25,141,MIA,.557
23,Ron Baker,59,.450,131,23,.267,86,107,23,8,86,82,.378,217,28,.651,43,52,13,857,12,74,215,SG,34,56,98,NYK,.431
24,Wade Baldwin,33,.355,93,3,.136,22,61,20,7,35,36,.313,115,31,.838,37,33,1,405,11,40,106,PG,18,39,46,MEM,.326
25,Leandro Barbosa,137,.466,294,35,.357,98,81,34,8,89,172,.439,392,40,.889,45,67,0,963,15,82,419,SG,31,48,104,PHO,.483
26,J.J. Barea,89,.456,195,53,.358,148,193,32,1,75,142,.414,343,44,.863,51,35,6,771,9,30,381,PG,14,63,84,DAL,.491
27,Harrison Barnes,521,.492,1058,78,.351,222,116,24,15,301,599,.468,1280,242,.861,281,79,79,2803,93,128,1518,PF,65,102,394,DAL,.498
28,Matt Barnes,98,.467,210,87,.331,263,195,36,26,314,185,.391,473,70,.787,89,74,18,1777,70,185,527,SF,48,107,384,TOT,.483
29,Will Barton,208,.483,431,87,.370,235,206,26,28,201,295,.443,666,143,.753,190,60,19,1705,58,110,820,SG,48,97,259,DEN,.508
30,Brandon Bass,106,.579,183,1,.333,3,21,31,11,86,107,.575,186,77,.875,88,52,0,577,43,45,292,PF,14,29,129,LAC,.578
31,Nicolas Batum,258,.453,570,135,.333,405,456,28,29,435,393,.403,975,243,.856,284,77,77,2617,46,109,1164,SG,86,194,481,CHO,.472
32,Jerryd Bayless,9,.333,27,2,.400,5,13,28,0,9,11,.344,32,9,.900,10,3,1,71,3,4,33,PG,0,9,12,PHI,.375
33,Aron Baynes,143,.513,279,0,,0,32,30,39,222,143,.513,279,79,.840,94,75,2,1163,111,166,365,C,17,50,333,DET,.513
34,Kent Bazemore,203,.446,455,92,.346,266,177,27,52,186,295,.409,721,119,.708,168,73,64,1963,45,165,801,SF,91,125,231,ATL,.473
35,Bradley Beal,414,.538,770,223,.404,552,267,23,21,187,637,.482,1322,282,.825,342,77,77,2684,53,169,1779,SG,83,156,240,WAS,.566
36,Malik Beasley,24,.533,45,9,.321,28,11,20,0,12,33,.452,73,8,.800,10,22,1,165,5,10,83,SG,7,8,17,DEN,.514
37,Michael Beasley,198,.545,363,18,.419,43,53,28,27,153,216,.532,406,78,.743,105,56,6,935,40,92,528,PF,27,66,193,MIL,.554
38,Marco Belinelli,162,.488,332,102,.360,283,147,30,9,164,264,.429,615,150,.893,168,74,0,1778,14,90,780,SG,44,70,178,CHO,.512
39,DeAndre' Bembry,46,.575,80,1,.056,18,28,22,5,45,47,.480,98,6,.375,16,38,1,371,14,21,101,SF,8,16,59,ATL,.485
40,Dragan Bender,29,.483,60,28,.277,101,23,19,22,80,57,.354,161,4,.364,11,43,0,574,23,74,146,PF,10,32,103,PHO,.441
41,Anthony Bennett,25,.568,44,13,.271,48,12,23,3,53,38,.413,92,26,.722,36,23,1,264,25,18,115,PF,5,12,78,BRK,.484
42,Ben Bentil,0,.000,2,0,.000,1,0,21,0,2,0,.000,3,0,,0,3,0,10,0,1,0,PF,0,1,2,DAL,.000
43,Davis Bertans,34,.557,61,69,.399,173,46,24,28,76,103,.440,234,28,.824,34,67,6,808,22,75,303,PF,20,32,98,SAS,.588
44,Patrick Beverley,118,.463,255,110,.382,288,281,28,25,298,228,.420,543,73,.768,95,67,67,2058,95,222,639,SG,99,100,393,HOU,.521
45,Bismack Biyombo,179,.528,339,0,,0,74,24,91,410,179,.528,339,125,.534,234,81,27,1793,157,202,483,C,25,95,567,ORL,.528
46,Nemanja Bjelica,95,.531,179,56,.316,177,79,28,20,187,151,.424,356,45,.738,61,65,1,1190,57,154,403,PF,40,59,244,MIN,.503
47,Tarik Black,149,.510,292,1,.500,2,39,25,44,199,150,.510,294,82,.752,109,67,16,1091,144,173,383,C,29,58,343,LAL,.512
48,Eric Bledsoe,345,.477,724,104,.335,310,418,27,31,268,449,.434,1034,388,.847,458,66,66,2176,52,164,1390,PG,91,224,320,PHO,.485
49,Bojan Bogdanovic,232,.512,453,144,.367,392,111,27,7,240,376,.445,845,217,.893,243,81,54,2083,37,146,1113,SF,34,131,277,TOT,.530
50,Andrew Bogut,38,.475,80,0,.000,1,49,32,25,162,38,.469,81,3,.273,11,27,21,583,56,86,79,C,13,43,218,TOT,.469
51,Joel Bolomboy,8,.667,12,1,.250,4,2,23,2,13,9,.563,16,3,.500,6,12,0,53,4,1,22,PF,1,2,17,UTA,.594
52,Devin Booker,459,.447,1026,147,.363,405,268,20,21,203,606,.423,1431,367,.832,441,78,78,2730,46,242,1726,SG,72,241,249,PHO,.475
53,Trevor Booker,280,.546,513,25,.321,78,138,29,28,428,305,.516,591,74,.673,110,71,43,1754,143,152,709,PF,75,127,571,BRK,.537
54,Avery Bradley,251,.504,498,108,.390,277,122,26,11,269,359,.463,775,68,.731,93,55,55,1835,65,141,894,SG,68,88,334,BOS,.533
55,Corey Brewer,120,.522,230,27,.229,118,97,30,20,134,147,.422,348,50,.735,68,82,11,1281,32,133,371,SF,61,55,166,TOT,.461
56,Malcolm Brogdon,212,.480,442,78,.404,193,317,24,12,166,290,.457,635,109,.865,126,75,28,1982,47,140,767,SG,84,113,213,MIL,.518
57,Aaron Brooks,73,.424,172,48,.375,128,125,32,9,51,121,.403,300,32,.800,40,65,0,894,18,93,322,PG,25,66,69,IND,.483
58,Anthony Brown,11,.478,23,7,.259,27,8,24,1,25,18,.360,50,0,,0,11,0,159,8,15,43,SF,5,6,33,TOT,.430
59,Bobby Brown,9,.360,25,14,.400,35,14,32,0,6,23,.383,60,2,1.000,2,25,0,123,0,5,62,PG,1,5,6,HOU,.500
60,Jaylen Brown,146,.507,288,46,.341,135,64,20,18,175,192,.454,423,85,.685,124,78,20,1341,45,142,515,SF,35,68,220,BOS,.508
61,Nicolas Brussino,23,.500,46,29,.305,95,47,23,8,69,52,.369,141,17,.773,22,54,2,521,26,43,150,SF,17,26,95,DAL,.472
62,Reggie Bullock,26,.473,55,28,.384,73,29,25,3,51,54,.422,128,5,.714,7,31,5,467,13,22,141,SF,18,10,64,DET,.531
63,Trey Burke,85,.459,185,31,.443,70,100,24,5,40,116,.455,255,22,.759,29,57,0,703,7,54,285,PG,11,48,47,WAS,.516
64,Alec Burks,74,.430,172,25,.329,76,30,25,5,103,99,.399,248,60,.769,78,42,0,653,17,50,283,SG,18,35,120,UTA,.450
65,Jimmy Butler,479,.477,1004,91,.367,248,417,27,32,341,570,.455,1252,585,.865,676,76,75,2809,129,112,1816,SF,143,159,470,CHI,.492
66,Bruno Caboclo,4,.400,10,2,.333,6,4,21,1,5,6,.375,16,0,,0,9,0,40,5,4,14,SF,2,2,10,TOR,.438
67,Jose Calderon,35,.500,70,20,.313,64,88,35,1,59,55,.410,134,11,.917,12,41,13,539,15,36,141,PG,11,41,74,TOT,.485
68,Kentavious Caldwell-Pope,217,.442,491,153,.350,437,193,23,12,193,370,.399,928,154,.832,185,76,75,2529,55,118,1047,SG,89,86,248,DET,.481
69,Isaiah Canaan,38,.481,79,25,.266,94,37,25,1,44,63,.364,173,30,.909,33,39,0,592,6,35,181,SG,22,21,50,CHI,.436
70,Clint Capela,362,.643,563,0,,0,63,22,79,348,362,.643,563,94,.531,177,65,59,1551,178,179,818,C,34,87,526,HOU,.643
71,DeMarre Carroll,111,.483,230,109,.341,320,74,30,27,212,220,.400,550,89,.761,117,72,72,1882,63,143,638,SF,81,54,275,TOR,.499
72,Vince Carter,81,.418,194,112,.378,296,133,40,36,191,193,.394,490,88,.765,115,73,15,1799,36,163,586,SF,60,50,227,MEM,.508
73,Michael Carter-Williams,97,.401,242,15,.234,64,113,25,23,129,112,.366,306,58,.753,77,45,19,846,24,102,297,PG,38,66,153,CHI,.391
74,Omri Casspi,62,.512,121,15,.349,43,37,28,3,85,77,.470,164,17,.586,29,36,2,643,27,50,186,SF,23,29,112,TOT,.515
75,Willie Cauley-Stein,255,.532,479,0,.000,2,80,23,44,254,255,.530,481,101,.669,151,75,21,1421,85,147,611,C,53,69,339,SAC,.530
76,Tyson Chandler,153,.671,228,0,,0,30,34,24,386,153,.671,228,91,.734,124,47,46,1298,153,126,397,C,33,65,539,PHO,.671
77,Wilson Chandler,323,.527,613,110,.337,326,141,29,30,357,433,.461,939,141,.727,194,71,33,2197,103,172,1117,SF,51,114,460,DEN,.520
78,Marquese Chriss,212,.520,408,72,.321,224,60,19,70,252,284,.449,632,113,.624,181,82,75,1743,96,263,753,PF,67,108,348,PHO,.506
79,Rakeem Christmas,19,.442,43,0,,0,4,25,6,30,19,.442,43,21,.724,29,29,0,219,26,37,59,PF,3,8,56,IND,.442
80,Semaj Christon,65,.406,160,12,.190,63,130,24,7,68,77,.345,223,17,.548,31,64,1,973,19,79,183,PG,28,43,87,OKC,.372
81,Ian Clark,150,.556,270,61,.374,163,90,25,8,99,211,.487,433,44,.759,58,77,0,1137,22,77,527,SG,39,55,121,GSW,.558
