,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Jeff Adrien,23,.426,54,0,,0,10,24,5,35,23,.426,54,11,.579,19,23,0,196,23,28,57,PF,4,9,58,GSW,.426
1,Arron Afflalo,207,.546,379,105,.423,248,168,25,31,206,312,.498,627,138,.847,163,69,69,2324,45,153,867,SG,34,71,251,DEN,.581
2,Maurice Ager,3,.429,7,3,.750,4,1,26,0,2,6,.545,11,0,,0,4,0,29,0,4,15,SG,1,4,2,MIN,.682
3,Alexis Ajinca,47,.475,99,12,.353,34,10,22,19,61,59,.444,133,13,.722,18,34,2,340,17,73,143,C,11,18,78,TOT,.489
4,Solomon Alabi,3,.200,15,0,,0,2,22,2,7,3,.200,15,0,.000,2,12,0,59,7,5,6,C,2,3,14,TOR,.200
5,Cole Aldrich,8,.533,15,0,,0,4,22,7,22,8,.533,15,2,.500,4,18,0,142,13,30,18,C,5,8,35,OKC,.533
6,LaMarcus Aldridge,703,.505,1392,4,.174,23,170,25,94,431,707,.500,1415,351,.791,444,81,81,3211,278,220,1769,PF,82,153,709,POR,.501
7,Malik Allen,11,.355,31,0,,0,4,32,4,20,11,.355,31,1,.500,2,18,0,178,12,30,23,PF,1,3,32,ORL,.355
8,Ray Allen,312,.520,600,168,.444,378,219,35,16,223,480,.491,978,193,.881,219,80,80,2890,51,147,1321,SG,77,117,274,BOS,.577
9,Tony Allen,247,.527,469,4,.174,23,104,29,44,123,251,.510,492,137,.753,182,72,31,1494,70,161,643,SG,129,86,193,MEM,.514
10,Al-Farouq Aminu,115,.437,263,45,.315,143,60,20,25,192,160,.394,406,92,.773,119,81,14,1452,75,121,457,SF,59,103,267,LAC,.450
11,Lou Amundson,83,.454,183,0,,0,17,28,33,104,83,.454,183,34,.391,87,46,7,691,81,87,200,PF,14,24,185,GSW,.454
