,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Quincy Acy,134,.494,271,18,.300,60,68,24,22,222,152,.459,331,76,.784,97,68,22,1287,79,147,398,PF,27,60,301,NYK,.486
1,Jordan Adams,25,.410,61,10,.400,25,16,20,7,19,35,.407,86,14,.609,23,30,0,248,9,24,94,SG,16,14,28,MEM,.465
2,Steven Adams,217,.547,397,0,.000,2,66,21,86,324,217,.544,399,103,.502,205,70,67,1771,199,222,537,C,38,99,523,OKC,.544
3,Jeff Adrien,19,.432,44,0,,0,15,28,9,54,19,.432,44,22,.579,38,17,0,215,23,30,60,PF,4,9,77,MIN,.432
4,Arron Afflalo,257,.466,551,118,.354,333,129,29,7,220,375,.424,884,167,.843,198,78,72,2502,27,167,1035,SG,41,116,247,TOT,.491
5,Alexis Ajinca,181,.550,329,0,,0,47,26,51,211,181,.550,329,81,.818,99,68,8,957,104,151,443,C,21,69,315,NOP,.550
6,Furkan Aldemir,40,.548,73,0,.000,5,28,23,16,98,40,.513,78,13,.481,27,41,9,540,78,96,93,PF,17,17,176,PHI,.513
7,Cole Aldrich,144,.478,301,0,,0,75,26,65,237,144,.478,301,50,.781,64,61,16,976,101,122,338,C,37,59,338,NYK,.478
8,LaMarcus Aldridge,622,.475,1310,37,.352,105,124,29,68,549,659,.466,1415,306,.845,362,71,71,2512,177,125,1661,PF,48,122,726,POR,.479
9,Lavoy Allen,141,.472,299,0,,0,73,25,42,200,141,.472,299,33,.702,47,63,0,1070,123,102,315,C,15,40,323,IND,.472
10,Tony Allen,215,.505,426,10,.345,29,86,33,30,177,225,.495,455,79,.627,126,63,41,1648,103,166,539,SG,129,86,280,MEM,.505
11,Al-Farouq Aminu,113,.485,233,34,.274,124,59,24,62,228,147,.412,357,84,.712,118,74,3,1366,114,137,412,SF,70,55,342,DAL,.459
12,Lou Amundson,109,.429,254,0,.000,1,70,32,52,174,109,.427,255,41,.471,87,53,35,937,94,126,259,PF,22,62,268,TOT,.427
13,Chris Andersen,116,.598,194,4,.308,13,43,36,61,223,120,.580,207,76,.667,114,60,20,1132,76,88,320,C,26,40,299,MIA,.589
14,Alan Anderson,122,.530,230,73,.348,210,83,32,5,173,195,.443,440,82,.812,101,74,19,1744,31,148,545,SG,56,60,204,BRK,.526
15,Kyle Anderson,28,.359,78,3,.273,11,28,21,7,67,31,.348,89,9,.643,14,33,8,358,5,28,74,SF,15,10,72,SAS,.365
16,Ryan Anderson,169,.457,370,122,.340,359,55,26,20,187,291,.399,729,129,.854,151,61,5,1675,108,113,833,PF,33,62,295,NOP,.483
17,Giannis Antetokounmpo,376,.511,736,7,.159,44,207,20,85,442,383,.491,780,257,.741,347,81,71,2541,100,254,1030,SG,73,173,542,MIL,.496
18,Carmelo Anthony,297,.474,627,61,.341,179,122,30,17,192,358,.444,806,189,.797,237,40,40,1428,72,87,966,SF,40,89,264,NYK,.482
19,Joel Anthony,36,.581,62,0,,0,5,32,49,61,36,.581,62,15,.682,22,49,0,406,32,55,87,C,12,12,93,DET,.581
20,Pero Antic,56,.455,123,52,.301,173,49,32,14,131,108,.365,296,88,.715,123,63,3,1037,58,132,356,C,18,49,189,ATL,.453
21,Trevor Ariza,172,.485,355,194,.350,555,209,29,17,382,366,.402,910,122,.853,143,82,82,2930,77,186,1048,SF,152,141,459,HOU,.509
