,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Jeff Adrien,7,.438,16,0,,0,1,25,2,17,7,.438,16,7,.583,12,8,0,63,5,13,21,PF,0,2,22,HOU,.438
1,Arron Afflalo,241,.504,478,88,.398,221,149,26,13,157,329,.471,699,197,.798,247,62,62,2086,40,134,943,SG,36,85,197,DEN,.534
2,Blake Ahearn,2,.400,5,2,.222,9,1,27,0,2,4,.286,14,0,,0,4,0,30,0,4,10,PG,0,5,2,UTA,.357
3,Solomon Alabi,13,.361,36,0,,0,3,23,9,32,13,.361,36,7,.875,8,14,0,122,15,11,33,C,2,5,47,TOR,.361
4,Cole Aldrich,22,.524,42,0,,0,3,23,16,35,22,.524,42,13,.929,14,26,0,173,13,22,57,C,8,9,48,OKC,.524
5,LaMarcus Aldridge,481,.516,932,2,.182,11,134,26,45,292,483,.512,943,223,.814,274,55,55,1994,150,153,1191,PF,51,111,442,POR,.513
6,Lavoy Allen,79,.473,167,0,,0,34,22,18,124,79,.473,167,11,.786,14,41,15,624,47,73,169,PF,13,20,171,PHI,.473
7,Ray Allen,120,.463,259,106,.453,234,109,36,8,128,226,.458,493,97,.915,106,46,42,1565,14,83,655,SG,49,68,142,BOS,.566
8,Tony Allen,202,.479,422,8,.308,26,79,30,33,135,210,.469,448,140,.800,175,58,57,1525,98,142,568,SG,104,94,233,MEM,.478
9,Morris Almond,5,.357,14,1,.333,3,2,26,0,7,6,.353,17,1,.333,3,4,0,67,1,6,14,SG,7,1,8,WAS,.382
10,Al-Farouq Aminu,137,.431,318,13,.277,47,66,21,34,213,150,.411,365,86,.754,114,66,21,1477,95,136,399,SF,59,91,308,NOH,.429
11,Lou Amundson,89,.430,207,0,,0,14,29,44,128,89,.430,207,35,.427,82,60,0,753,94,125,213,PF,27,45,222,IND,.430
12,Chris Andersen,59,.546,108,0,,0,6,33,46,100,59,.546,108,50,.610,82,32,1,486,48,52,168,C,19,17,148,DEN,.546
13,Alan Anderson,31,.383,81,24,.393,61,26,29,3,26,55,.387,142,29,.853,34,17,12,461,8,35,163,SF,5,25,34,TOR,.472
14,James Anderson,47,.443,106,19,.279,68,41,22,2,63,66,.379,174,39,.750,52,51,2,603,16,35,190,SG,8,30,79,SAS,.434
15,Ryan Anderson,166,.496,335,166,.393,422,54,23,26,247,332,.439,757,150,.877,171,61,61,1964,224,146,980,PF,50,57,471,ORL,.548
16,Carmelo Anthony,373,.454,822,68,.335,203,200,27,24,256,441,.430,1025,295,.804,367,55,55,1876,88,156,1245,SF,62,144,344,NYK,.463
17,Joel Anthony,85,.559,152,0,,0,9,29,84,150,85,.559,152,49,.690,71,64,51,1349,100,126,219,C,36,45,250,MIA,.559
18,Gilbert Arenas,13,.520,25,13,.333,39,18,30,1,16,26,.406,64,7,.700,10,17,0,211,2,35,72,PG,11,12,18,MEM,.508
19,Trevor Ariza,139,.440,316,29,.333,87,135,26,25,174,168,.417,403,79,.775,102,41,41,1350,41,73,444,SF,69,76,215,NOH,.453
20,Omer Asik,79,.506,156,0,,0,32,25,68,223,79,.506,156,47,.456,103,66,2,971,127,121,205,C,30,68,350,CHI,.506
21,D.J. Augustin,122,.396,308,61,.341,179,307,24,1,85,183,.376,487,105,.875,120,48,46,1408,24,65,532,PG,36,110,109,CHA,.438
22,Gustavo Ayon,140,.538,260,0,.000,1,74,26,46,179,140,.536,261,39,.619,63,54,24,1088,86,118,319,PF,53,46,265,NOH,.536
23,Jeff Ayres,15,.417,36,0,,0,4,24,2,21,15,.417,36,4,.571,7,20,1,106,12,16,34,C,3,2,33,IND,.417
24,Kelenna Azubuike,2,.400,5,1,.333,3,0,28,0,0,3,.375,8,0,,0,3,0,18,0,1,7,SG,1,4,0,DAL,.438
25,Luke Babbitt,28,.384,73,43,.430,100,16,22,4,79,71,.410,173,17,.850,20,40,4,537,16,46,202,SF,10,27,95,POR,.535
26,Renaldo Balkman,14,.609,23,2,.222,9,5,27,3,20,16,.500,32,8,.727,11,14,0,115,6,14,42,SF,4,6,26,NYK,.531
27,Leandro Barbosa,206,.441,467,65,.382,170,96,29,7,95,271,.425,637,101,.815,124,64,0,1382,33,135,708,SG,56,94,128,TOT,.476
28,J.J. Barea,114,.415,275,53,.371,143,232,27,0,100,167,.400,418,76,.776,98,41,11,1032,14,61,463,PG,21,103,114,MIN,.463
29,Andrea Bargnani,175,.474,369,34,.296,115,61,26,15,148,209,.432,484,151,.873,173,31,31,1032,24,52,603,C,18,69,172,TOR,.467
30,Matt Barnes,129,.518,249,46,.333,138,126,31,48,247,175,.452,387,95,.742,128,63,16,1440,97,152,491,SF,35,73,344,LAL,.512
31,Earl Barron,2,.500,4,0,,0,0,30,0,0,2,.500,4,0,,0,2,0,9,1,5,4,C,0,0,1,GSW,.500
32,Brandon Bass,303,.479,632,0,,0,55,26,54,270,303,.479,632,132,.810,163,59,39,1868,95,135,738,PF,34,65,365,BOS,.479
33,Tony Battie,19,.380,50,0,.000,1,16,35,6,59,19,.373,51,4,1.000,4,27,11,295,8,26,42,C,4,4,67,PHI,.373
34,Shane Battier,51,.468,109,62,.339,183,82,33,33,100,113,.387,292,23,.622,37,65,10,1499,56,105,311,SF,64,37,156,MIA,.493
35,Nicolas Batum,182,.496,367,107,.391,274,84,23,60,190,289,.451,641,133,.836,159,59,34,1791,81,105,818,SF,57,90,271,POR,.534
36,Jerryd Bayless,73,.424,172,44,.423,104,118,23,4,58,117,.424,276,75,.852,88,31,11,705,8,70,353,PG,24,53,66,TOR,.504
37,Michael Beasley,183,.462,396,38,.376,101,45,23,19,168,221,.445,497,61,.642,95,47,7,1087,39,83,541,SF,18,80,207,MIN,.483
38,Rodrigue Beaubois,150,.479,313,38,.288,132,152,23,28,132,188,.422,445,58,.841,69,53,12,1151,19,98,472,PG,56,70,151,DAL,.465
39,Marco Belinelli,179,.445,402,107,.377,284,101,25,5,153,286,.417,686,101,.783,129,66,55,1966,19,115,780,SG,48,69,172,NOH,.495
40,Raja Bell,47,.540,87,34,.391,87,38,35,2,43,81,.466,174,21,.840,25,34,33,796,6,78,217,SG,13,21,49,UTA,.563
41,Keith Benson,0,.000,1,0,,0,0,23,0,1,0,.000,1,0,,0,3,0,9,2,0,0,C,0,0,3,GSW,.000
42,Mike Bibby,8,.205,39,27,.318,85,80,33,3,54,35,.282,124,6,.750,8,39,4,557,5,45,103,PG,21,20,59,NYK,.391
43,Andris Biedrins,39,.609,64,0,,0,16,25,45,131,39,.609,64,1,.111,9,47,35,739,45,125,79,C,23,14,176,GSW,.609
44,Chauncey Billups,35,.340,103,48,.384,125,80,35,3,46,83,.364,228,85,.895,95,20,20,607,4,40,299,SG,9,38,50,LAC,.469
45,Bismack Biyombo,129,.464,278,0,,0,27,19,115,255,129,.464,278,69,.483,143,63,41,1455,113,145,327,C,20,71,368,CHA,.464
46,DeJuan Blair,269,.535,503,0,.000,1,78,22,12,197,269,.534,504,73,.613,119,64,62,1363,154,168,611,PF,59,92,351,SAS,.534
47,Steve Blake,48,.436,110,53,.335,158,175,31,2,76,101,.377,268,21,.778,27,53,5,1237,9,75,276,PG,39,72,85,LAL,.476
48,Andray Blatche,91,.382,238,2,.286,7,28,25,17,108,93,.380,245,33,.673,49,26,13,626,42,54,221,PF,20,37,150,WAS,.384
49,Eric Bledsoe,43,.448,96,6,.200,30,66,22,14,43,49,.389,126,28,.636,44,40,1,464,22,58,132,PG,31,47,65,LAC,.413
50,Keith Bogans,5,.556,9,3,.250,12,3,31,0,6,8,.381,21,2,.400,5,5,1,94,5,15,21,SF,2,3,11,NJN,.452
51,Andrew Bogut,61,.452,135,0,.000,1,31,27,24,78,61,.449,136,14,.609,23,12,12,364,22,36,136,C,12,24,100,MIL,.449
52,Matt Bonner,49,.490,100,105,.420,250,61,31,21,185,154,.440,350,16,.762,21,65,2,1326,29,68,429,PF,15,14,214,SAS,.590
53,Trevor Booker,180,.531,339,1,.500,2,40,24,43,206,181,.531,341,56,.602,93,50,32,1261,119,138,419,PF,48,58,325,WAS,.532
54,Carlos Boozer,448,.533,841,0,.000,1,125,30,24,450,448,.532,842,95,.693,137,66,66,1948,114,168,991,PF,63,115,564,CHI,.532
55,Chris Bosh,383,.496,772,10,.286,35,103,27,45,358,393,.487,807,229,.821,279,57,57,2007,94,128,1025,PF,51,117,452,MIA,.493
56,Earl Boykins,10,.370,27,2,.222,9,17,35,0,11,12,.333,36,13,.867,15,8,0,111,0,5,39,PG,1,7,11,HOU,.361
57,Craig Brackins,6,.250,24,3,.333,9,8,24,1,10,9,.273,33,1,.500,2,14,1,88,5,6,22,PF,0,4,15,PHI,.318
58,Avery Bradley,178,.511,348,22,.407,54,87,21,12,81,200,.498,402,62,.795,78,64,28,1368,34,109,484,PG,43,75,115,BOS,.525
59,Elton Brand,287,.495,580,0,.000,1,97,32,97,284,287,.494,581,85,.733,116,60,60,1732,145,176,659,C,58,65,429,PHI,.494
60,Corey Brewer,168,.500,336,33,.260,127,88,25,17,107,201,.434,463,90,.692,130,59,17,1287,43,113,525,SF,72,56,150,DEN,.470
61,Ronnie Brewer,171,.455,376,19,.275,69,137,26,21,159,190,.427,445,56,.560,100,66,43,1635,72,64,455,SG,72,59,231,CHI,.448
62,Jon Brockman,15,.341,44,0,.000,1,9,24,1,42,15,.333,45,7,.467,15,35,0,239,33,33,37,PF,4,10,75,MIL,.333
63,MarShon Brooks,227,.463,490,47,.313,150,131,23,15,130,274,.428,640,113,.764,148,56,47,1648,70,116,708,SG,52,118,200,NJN,.465
64,Derrick Brown,206,.535,385,6,.250,24,67,24,12,141,212,.518,409,94,.667,141,65,17,1443,95,96,524,SF,48,55,236,CHA,.526
65,Kwame Brown,21,.525,40,0,,0,4,29,0,41,21,.525,40,15,.441,34,9,3,187,16,21,57,C,8,14,57,GSW,.525
66,Shannon Brown,183,.446,410,68,.362,188,69,26,15,119,251,.420,598,80,.808,99,59,19,1400,38,66,650,SG,44,64,157,PHO,.477
67,Kobe Bryant,487,.464,1049,87,.303,287,264,33,18,247,574,.430,1336,381,.845,451,58,58,2232,66,105,1616,SG,69,204,313,LAL,.462
68,Chase Budinger,120,.476,252,88,.402,219,74,23,7,179,208,.442,471,54,.771,70,58,9,1298,38,65,558,SF,29,55,217,HOU,.535
69,Alec Burks,138,.442,312,15,.333,45,55,20,5,75,153,.429,357,104,.727,143,59,0,939,57,84,425,SG,27,51,132,UTA,.450
70,Caron Butler,195,.435,448,92,.358,257,78,31,9,186,287,.407,705,87,.813,107,63,63,1871,44,123,753,SF,52,77,230,LAC,.472
71,Jimmy Butler,30,.441,68,2,.182,11,14,22,5,33,32,.405,79,43,.768,56,42,0,359,23,20,109,SG,11,14,56,CHI,.418
72,Rasual Butler,20,.357,56,21,.273,77,19,32,5,60,41,.308,133,7,.583,12,34,14,453,6,39,110,SF,7,15,66,TOR,.387
73,Derrick Byars,3,.600,5,0,.000,6,1,27,0,5,3,.273,11,4,1.000,4,2,0,37,6,2,10,PF,2,0,11,SAS,.273
74,Andrew Bynum,443,.560,791,1,.200,5,85,24,116,517,444,.558,796,234,.692,338,60,60,2112,192,104,1123,C,27,152,709,LAL,.558
75,Will Bynum,67,.406,165,7,.241,29,66,29,3,46,74,.381,194,49,.766,64,36,0,514,10,61,204,PG,23,54,56,DET,.399
76,Jose Calderon,159,.500,318,59,.371,159,468,30,3,141,218,.457,477,60,.882,68,53,53,1799,19,94,555,PG,47,104,160,TOR,.519
77,Marcus Camby,126,.447,282,2,.400,5,107,37,85,373,128,.446,287,29,.453,64,59,53,1352,157,126,287,C,50,57,530,TOT,.449
78,Brian Cardinal,4,.667,6,10,.204,49,16,34,2,30,14,.255,55,5,.833,6,44,0,277,4,38,43,SF,8,8,34,DAL,.345
79,DeMarre Carroll,36,.419,86,7,.368,19,18,25,1,25,43,.410,105,14,.875,16,24,9,348,28,37,107,SF-PF,12,11,53,TOT,.443
80,Matt Carroll,44,.386,114,8,.186,43,38,31,7,50,52,.331,157,30,.789,38,53,2,596,8,52,142,SG,16,24,58,CHA,.357
81,Anthony Carter,12,.333,36,5,.294,17,34,36,4,28,17,.321,53,8,.800,10,24,0,209,5,20,47,PG,8,17,33,TOR,.368
82,Vince Carter,149,.442,337,74,.361,205,139,35,25,173,223,.411,542,95,.826,115,61,40,1542,32,134,615,SG,56,84,205,DAL,.480
83,Omri Casspi,113,.463,244,53,.315,168,66,23,21,165,166,.403,412,74,.685,108,65,35,1341,63,115,459,SF,37,64,228,CLE,.467
84,Mario Chalmers,122,.513,238,101,.388,260,222,25,11,155,223,.448,498,80,.792,101,64,64,1825,16,166,627,PG,97,142,171,MIA,.549
85,Tyson Chandler,241,.683,353,0,.000,2,56,29,89,400,241,.679,355,217,.689,315,62,62,2061,212,186,699,C,56,102,612,NYK,.679
86,Wilson Chandler,28,.418,67,3,.250,12,17,24,6,35,31,.392,79,10,.833,12,8,6,215,6,18,75,SF,6,18,41,DEN,.411
87,Josh Childress,44,.587,75,4,.167,24,34,28,6,64,48,.485,99,0,.000,2,34,0,491,31,38,100,SF,14,9,95,PHO,.505
88,Earl Clark,51,.367,139,0,,0,18,24,32,89,51,.367,139,21,.724,29,45,1,559,35,72,123,PF,12,25,124,ORL,.367
89,Norris Cole,156,.417,374,21,.276,76,133,23,2,70,177,.393,450,66,.776,85,65,2,1260,21,124,441,PG,44,105,91,MIA,.417
90,Jason Collins,16,.400,40,0,,0,10,33,3,36,16,.400,40,7,.467,15,30,10,308,12,34,39,C,4,10,48,ATL,.400
91,Darren Collison,196,.457,429,34,.362,94,287,24,14,157,230,.440,523,127,.830,153,60,56,1878,30,101,621,PG,49,114,187,IND,.472
92,Nick Collison,120,.600,200,0,.000,1,82,31,28,155,120,.597,201,44,.710,62,63,0,1307,119,153,284,PF,33,61,274,OKC,.597
93,Mike Conley,236,.450,525,60,.377,159,404,24,11,134,296,.433,684,136,.861,158,62,61,2174,22,133,788,PG,136,125,156,MEM,.477
94,Brian Cook,21,.438,48,10,.200,50,10,31,5,53,31,.316,98,9,.900,10,32,0,276,10,48,81,PF,6,11,63,TOT,.367
95,Daequan Cook,30,.441,68,79,.346,228,15,24,11,110,109,.368,296,14,.636,22,57,22,989,12,69,311,SG,22,16,122,OKC,.502
96,DeMarcus Cousins,446,.453,985,2,.143,14,102,21,75,438,448,.448,999,262,.702,373,64,62,1950,265,257,1160,C,93,170,703,SAC,.449
97,Jamal Crawford,203,.426,477,80,.308,260,191,31,14,102,283,.384,737,191,.927,206,60,6,1613,16,74,837,PG,55,111,118,POR,.438
98,Jordan Crawford,270,.451,599,79,.289,273,190,23,5,124,349,.400,872,161,.793,203,64,32,1753,44,111,938,SG,59,141,168,WAS,.446
99,Dante Cunningham,144,.520,277,0,.000,2,37,24,34,155,144,.516,279,45,.652,69,64,5,1124,91,98,333,PF,42,29,246,MEM,.516
100,Eddy Curry,12,.462,26,0,,0,1,29,2,8,12,.462,26,6,.750,8,14,1,83,4,17,30,C,0,10,12,MIA,.462
101,Stephen Curry,90,.514,175,55,.455,121,138,23,8,73,145,.490,296,38,.809,47,26,23,732,15,62,383,PG,39,65,88,GSW,.583
102,Samuel Dalembert,200,.508,394,0,.000,1,33,30,111,298,200,.506,395,90,.796,113,65,45,1446,158,162,490,C,37,82,456,HOU,.506
103,Erick Dampier,1,.125,8,0,,0,4,36,4,15,1,.125,8,0,,0,15,0,83,10,9,2,C,1,3,25,ATL,.125
104,Marquis Daniels,52,.391,133,0,.000,10,47,31,9,50,52,.364,143,17,.739,23,38,0,484,16,36,121,SG,21,28,66,BOS,.364
105,Baron Davis,42,.424,99,26,.306,85,135,32,3,43,68,.370,184,16,.667,24,29,14,595,13,61,178,PG,34,76,56,NYK,.440
106,Ed Davis,172,.515,334,0,.000,1,60,22,63,304,172,.513,335,71,.670,106,66,9,1534,134,156,415,PF,40,67,438,TOR,.513
107,Glen Davis,223,.429,520,2,.143,14,47,26,19,224,225,.421,534,114,.683,167,61,13,1427,107,106,566,PF,43,75,331,ORL,.423
108,Josh Davis,6,.429,14,4,.308,13,6,31,1,11,10,.370,27,4,.500,8,15,0,130,16,19,28,PF,7,3,27,MEM,.444
109,Eric Dawson,7,.583,12,0,,0,0,27,2,5,7,.583,12,1,.500,2,4,0,39,5,6,15,C,1,3,10,SAS,.583
110,Austin Daye,60,.364,165,13,.210,62,33,23,21,77,73,.322,227,35,.814,43,41,4,603,14,62,194,SF,22,40,91,DET,.350
111,Carlos Delfino,96,.449,214,86,.360,239,123,29,10,188,182,.402,453,38,.792,48,54,53,1537,20,99,488,SF,79,66,208,MIL,.497
112,Luol Deng,232,.430,540,79,.367,215,157,26,36,273,311,.412,755,127,.770,165,54,54,2129,77,81,828,SF,56,96,350,CHI,.464
113,Justin Dentmon,8,.571,14,2,.143,14,10,26,0,8,10,.357,28,4,.667,6,6,0,91,0,10,26,PG,2,7,8,TOT,.393
114,DeMar DeRozan,357,.440,811,24,.261,92,128,22,17,171,381,.422,903,268,.810,331,63,63,2206,40,162,1054,SG,48,123,211,TOR,.435
115,Boris Diaw,125,.496,252,31,.313,99,205,29,25,210,156,.444,351,22,.629,35,57,35,1424,70,125,365,PF,34,112,280,TOT,.489
116,Ike Diogu,0,.000,2,0,,0,0,28,0,1,0,.000,2,2,1.000,2,2,0,14,0,1,2,PF,0,1,1,SAS,.000
117,DeSagana Diop,15,.357,42,0,,0,23,30,13,52,15,.357,42,1,.167,6,27,9,325,33,36,31,C,6,19,85,CHA,.357
118,Keyon Dooling,39,.476,82,27,.333,81,51,31,2,36,66,.405,163,23,.742,31,46,2,662,3,57,182,SG,13,34,39,BOS,.488
119,Toney Douglas,67,.387,173,27,.231,117,77,25,1,56,94,.324,290,22,.846,26,38,9,656,16,55,237,PG,29,56,72,NYK,.371
120,Goran Dragic,209,.525,398,68,.337,202,351,25,10,115,277,.462,600,153,.805,190,66,28,1752,53,166,775,PG,85,157,168,HOU,.518
121,Jared Dudley,232,.535,434,80,.383,209,112,26,19,206,312,.485,643,119,.726,164,65,60,2020,95,107,823,SG,49,72,301,PHO,.547
122,Chris Duhon,35,.417,84,50,.420,119,151,29,9,88,85,.419,203,17,.810,21,63,9,1226,14,71,237,PG,35,81,102,ORL,.542
123,Tim Duncan,361,.495,729,0,.000,4,132,35,88,410,361,.492,733,173,.695,249,58,58,1634,110,98,895,C,38,97,520,SAS,.492
124,Mike Dunleavy,156,.527,296,83,.399,208,117,31,8,175,239,.474,504,116,.811,143,55,3,1445,29,87,677,SF,28,58,204,MIL,.557
125,Kevin Durant,510,.535,953,133,.387,344,231,23,77,487,643,.496,1297,431,.860,501,66,66,2546,40,133,1850,SF,88,248,527,OKC,.547
126,Jerome Dyson,18,.450,40,1,.125,8,18,24,2,17,19,.396,48,28,.778,36,9,1,180,2,19,67,PG,11,20,19,NOH,.406
127,Devin Ebanks,37,.463,80,0,.000,9,12,22,6,28,37,.416,89,23,.657,35,24,12,396,26,26,97,SG,11,18,54,LAL,.416
128,Wayne Ellington,87,.448,194,35,.324,108,33,24,10,85,122,.404,302,32,.800,40,51,4,973,14,56,311,SG,26,26,99,MIN,.462
129,Monta Ellis,388,.462,839,62,.308,201,346,26,18,180,450,.433,1040,219,.796,275,58,58,2120,20,136,1181,SG,85,177,200,TOT,.463
130,Francisco Elson,1,.333,3,0,,0,1,35,1,1,1,.333,3,0,,0,5,0,16,0,0,2,C,1,1,1,PHI,.333
131,Andre Emmett,4,.667,6,0,.000,1,1,29,1,4,4,.571,7,5,.625,8,6,0,45,2,2,13,SF,2,2,6,NJN,.571
132,Semih Erden,39,.527,74,0,,0,9,25,5,52,39,.527,74,21,.512,41,28,9,333,20,60,99,C,10,16,72,CLE,.527
133,Jeremy Evans,27,.659,41,0,.000,1,13,24,24,31,27,.643,42,8,.500,16,29,0,217,19,23,62,SF,6,5,50,UTA,.643
134,Maurice Evans,28,.418,67,17,.378,45,9,33,0,16,45,.402,112,10,.769,13,24,0,343,8,36,117,SF,14,10,24,WAS,.478
135,Reggie Evans,34,.472,72,0,,0,17,31,6,171,34,.472,72,36,.507,71,56,0,771,100,118,104,PF,31,44,271,LAC,.472
136,Tyreke Evans,388,.484,801,20,.202,99,283,22,29,225,408,.453,900,201,.779,258,63,61,2162,64,136,1037,SG,84,171,289,SAC,.464
