,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Arron Afflalo,164,.488,336,108,.434,249,138,24,30,193,272,.465,585,72,.735,98,82,75,2221,59,225,724,SG,46,74,252,DEN,.557
1,Alexis Ajinca,5,.500,10,0,,0,0,21,1,3,5,.500,10,0,.000,1,6,0,30,1,5,10,C,1,2,4,CHA,.500
2,LaMarcus Aldridge,574,.498,1153,5,.313,16,160,24,48,435,579,.495,1169,230,.757,304,78,78,2922,192,231,1393,PF,67,104,627,POR,.497
3,Joe Alexander,1,.200,5,0,.000,1,2,23,1,3,1,.167,6,2,.667,3,8,0,29,2,9,4,SF,1,0,5,CHI,.167
4,Malik Allen,45,.409,110,1,.167,6,16,31,5,46,46,.397,116,12,.923,13,51,3,456,36,68,105,PF,11,22,82,DEN,.401
5,Ray Allen,319,.556,574,145,.363,399,210,34,25,208,464,.477,973,231,.913,253,80,80,2819,45,182,1304,SG,64,129,253,BOS,.551
6,Tony Allen,129,.520,248,0,.000,5,72,28,19,93,129,.510,253,72,.605,119,54,8,889,52,109,330,SG,59,66,145,BOS,.510
7,Rafer Alston,97,.349,278,58,.345,168,176,33,10,116,155,.348,446,59,.728,81,52,38,1421,13,103,427,PG,50,95,129,TOT,.413
8,Lou Amundson,152,.553,275,0,.000,1,31,27,73,218,152,.551,276,67,.545,123,79,0,1168,128,169,371,PF,24,57,346,PHO,.551
9,Chris Andersen,142,.573,248,0,.000,3,33,31,143,336,142,.566,251,164,.695,236,76,0,1695,147,171,448,PF,42,59,483,DEN,.566
10,David Andersen,120,.458,262,27,.346,78,44,29,12,154,147,.432,340,46,.687,67,63,0,891,54,119,367,C,15,37,208,HOU,.472
11,Antonio Anderson,1,.333,3,0,,0,0,24,0,0,1,.333,3,0,,0,1,0,15,1,1,2,SF,0,1,1,OKC,.333
12,Ryan Anderson,91,.514,177,78,.370,211,37,21,14,132,169,.436,388,71,.866,82,63,6,911,70,81,487,PF,25,56,202,ORL,.536
13,Carmelo Anthony,629,.478,1315,59,.316,187,222,25,30,302,688,.458,1502,508,.830,612,69,69,2634,152,225,1943,SF,88,209,454,DEN,.478
