,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Shareef Abdur-Rahim,3,.214,14,0,,0,4,31,0,4,3,.214,14,4,1.000,4,6,0,51,6,9,10,PF,1,1,10,SAC,.214
1,Arron Afflalo,89,.461,193,10,.208,48,52,22,8,101,99,.411,241,68,.782,87,75,9,970,36,83,276,SG,31,34,137,DET,.432
2,Maurice Ager,18,.391,46,3,.158,19,8,23,1,9,21,.323,65,6,.500,12,26,3,165,4,17,51,SG,0,6,13,TOT,.346
3,Blake Ahearn,5,.217,23,10,.294,34,19,23,0,18,15,.263,57,30,.968,31,12,0,177,1,20,70,PG,6,16,19,MIA,.351
4,LaMarcus Aldridge,560,.486,1153,1,.143,7,122,22,94,358,561,.484,1160,227,.762,298,76,76,2649,220,240,1350,PF,55,126,578,POR,.484
5,Malik Allen,156,.480,325,1,.500,2,44,29,31,130,157,.480,327,23,.920,25,73,16,1096,66,149,338,PF,19,45,196,TOT,.482
6,Ray Allen,259,.485,534,180,.398,452,225,32,16,193,439,.445,986,215,.907,237,73,73,2624,75,147,1273,SG,65,127,268,BOS,.537
7,Tony Allen,151,.455,332,18,.316,57,114,26,21,134,169,.434,389,138,.762,181,75,11,1373,34,168,494,SG,62,109,168,BOS,.458
8,Lance Allred,1,.250,4,0,,0,0,26,0,1,1,.250,4,1,.500,2,3,0,10,0,1,3,C,0,0,1,CLE,.250
9,Morris Almond,3,.273,11,1,.250,4,3,22,0,2,4,.267,15,4,.667,6,9,0,39,0,5,13,SG,1,2,2,UTA,.300
10,Rafer Alston,221,.427,517,143,.351,407,392,31,18,232,364,.394,924,98,.715,137,74,74,2526,28,139,969,PG,98,160,260,HOU,.471
11,Lou Amundson,8,.500,16,0,,0,0,25,1,5,8,.500,16,2,.286,7,16,0,64,7,13,18,PF,1,2,12,PHI,.500
12,Chris Andersen,2,.286,7,0,,0,0,29,4,7,2,.286,7,2,.500,4,5,0,34,2,6,6,C,0,1,9,NOH,.286
13,Derek Anderson,28,.384,73,19,.365,52,44,33,1,43,47,.376,125,28,.737,38,28,0,396,9,49,141,SG,12,25,52,CHA,.452
14,Carmelo Anthony,670,.509,1317,58,.354,164,259,23,39,393,728,.492,1481,464,.786,590,77,77,2806,178,253,1978,SF,98,253,571,DEN,.511
15,Joel Anthony,28,.467,60,0,,0,3,25,31,55,28,.467,60,29,.592,49,24,1,498,38,55,85,PF,9,17,93,MIA,.467
16,Gilbert Arenas,56,.475,118,22,.282,78,66,26,1,45,78,.398,196,74,.771,96,13,8,425,6,30,252,PG,23,49,51,WAS,.454
17,Trevor Ariza,64,.542,118,5,.278,18,44,22,11,78,69,.507,136,49,.653,75,35,3,546,30,45,192,SF,31,23,108,TOT,.526
18,Darrell Armstrong,17,.415,41,23,.333,69,73,39,2,50,40,.364,110,20,.667,30,50,2,549,17,53,123,PG,28,41,67,NJN,.468
19,Hilton Armstrong,67,.453,148,0,,0,23,23,34,98,67,.453,148,44,.629,70,65,3,732,65,130,178,C,15,59,163,NOH,.453
20,Carlos Arroyo,128,.485,264,29,.345,84,219,28,2,103,157,.451,348,87,.853,102,62,20,1269,10,85,430,PG,26,77,113,ORL,.493
21,Chucky Atkins,17,.395,43,25,.316,79,47,33,1,28,42,.344,122,4,.444,9,24,0,352,3,27,113,SG,9,10,31,DEN,.447
22,James Augustine,18,.529,34,0,,0,2,23,2,14,18,.529,34,4,.500,8,25,0,149,16,18,40,PF,5,6,30,ORL,.529
23,Kelenna Azubuike,190,.485,392,71,.364,195,75,24,34,217,261,.445,587,99,.717,138,81,17,1732,107,159,692,SG,45,58,324,GSW,.505
24,Renaldo Balkman,90,.517,174,1,.083,12,40,23,30,133,91,.489,186,41,.432,95,65,0,952,83,132,224,SF,44,37,216,NYK,.492
25,Marcus Banks,46,.517,89,40,.392,102,61,26,13,41,86,.450,191,27,.771,35,36,3,569,4,65,239,PG,14,37,45,TOT,.555
26,Leandro Barbosa,308,.514,599,164,.389,422,216,25,18,191,472,.462,1021,175,.822,213,82,12,2421,40,195,1283,SG,75,117,231,PHO,.543
27,J.J. Barea,50,.431,116,21,.389,54,58,23,1,43,71,.418,170,28,.800,35,44,9,460,4,48,191,PG,14,35,47,DAL,.479
28,Andrea Bargnani,190,.409,464,90,.345,261,89,22,37,238,280,.386,725,142,.840,169,78,53,1861,50,211,792,PF,23,88,288,TOR,.448
29,Matt Barnes,134,.513,261,53,.293,181,139,27,36,230,187,.423,442,59,.747,79,73,18,1414,94,159,486,PF,48,85,324,GSW,.483
30,Andre Barrett,1,.500,2,1,.333,3,7,25,0,1,2,.400,5,1,.500,2,4,0,25,0,1,6,PG,0,1,1,LAC,.500
31,Earl Barron,131,.417,314,1,.077,13,29,26,8,131,132,.404,327,61,.701,87,46,15,889,67,114,326,C,19,48,198,MIA,.405
32,Brent Barry,29,.604,48,48,.429,112,54,36,3,43,77,.481,160,19,.950,20,31,1,554,12,43,221,SF,17,18,55,SAS,.631
33,Brandon Bass,246,.503,489,0,.000,4,58,22,48,227,246,.499,493,162,.822,197,79,1,1557,120,150,654,C,22,82,347,DAL,.499
34,Maceo Baston,17,.680,25,0,,0,3,32,4,17,17,.680,25,7,.700,10,15,2,103,9,20,41,PF,2,4,26,TOR,.680
35,Shane Battier,126,.504,250,139,.377,369,155,29,90,276,265,.428,619,75,.743,101,80,78,2907,131,196,744,SF,77,78,407,HOU,.540
36,Marco Belinelli,20,.385,52,16,.390,41,15,21,0,11,36,.387,93,7,.778,9,33,0,241,3,15,95,PG,5,12,14,GSW,.473
37,Charlie Bell,111,.413,269,74,.341,217,210,28,2,136,185,.381,486,70,.805,87,68,5,1628,31,121,514,SG,52,76,167,MIL,.457
38,Raja Bell,141,.449,314,176,.401,439,168,31,27,227,317,.421,753,79,.868,91,75,75,2646,47,220,889,SG,54,65,274,PHO,.538
39,Mike Bibby,155,.437,355,93,.375,248,290,29,4,144,248,.411,603,78,.780,100,48,44,1573,16,97,667,PG,54,119,160,TOT,.488
40,Andris Biedrins,340,.626,543,0,,0,75,21,94,488,340,.626,543,116,.620,187,76,59,2078,256,262,796,C,56,85,744,GSW,.626
41,Chauncey Billups,256,.479,535,137,.401,342,529,31,17,170,393,.448,877,401,.918,437,78,78,2522,42,130,1324,PG,101,160,212,DET,.526
42,Steve Blake,140,.409,342,121,.406,298,413,27,4,164,261,.408,640,49,.766,64,81,78,2424,31,133,692,PG,55,113,195,POR,.502
43,Andray Blatche,251,.480,523,3,.231,13,92,21,114,261,254,.474,536,107,.695,154,82,15,1675,164,258,618,PF,53,112,425,WAS,.477
44,Mark Blount,221,.469,471,17,.386,44,41,32,34,194,238,.462,515,88,.638,138,69,46,1542,69,133,581,C,33,70,263,MIA,.479
45,Keith Bogans,93,.520,179,148,.362,409,104,27,10,224,241,.410,588,81,.736,110,82,35,2198,42,164,711,SG,59,53,266,ORL,.536
46,Andrew Bogut,465,.515,903,0,.000,7,199,23,135,518,465,.511,910,189,.587,322,78,78,2720,245,254,1119,C,64,172,763,MIL,.511
47,Matt Bonner,75,.487,154,46,.336,137,32,27,17,139,121,.416,291,38,.864,44,68,3,853,53,111,326,PF,14,39,192,SAS,.495
