,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Quincy Acy,62,.492,126,4,.267,15,28,23,26,144,66,.468,141,35,.660,53,63,0,847,72,122,171,SF,23,30,216,TOT,.482
1,Steven Adams,93,.503,185,0,,0,43,20,57,190,93,.503,185,79,.581,136,81,20,1197,142,203,265,C,40,71,332,OKC,.503
2,Jeff Adrien,143,.520,275,0,,0,38,27,36,204,143,.520,275,76,.639,119,53,12,961,102,108,362,PF,24,39,306,TOT,.520
3,Arron Afflalo,336,.473,711,128,.427,300,248,28,3,230,464,.459,1011,274,.815,336,73,73,2552,32,136,1330,SG,35,146,262,ORL,.522
4,Alexis Ajinca,136,.548,248,0,.000,1,40,25,46,183,136,.546,249,56,.836,67,56,30,951,94,187,328,C,23,63,277,NOP,.546
5,Cole Aldrich,33,.541,61,0,,0,14,25,30,92,33,.541,61,26,.867,30,46,2,330,37,40,92,C,8,18,129,NYK,.541
6,LaMarcus Aldridge,649,.461,1408,3,.200,15,178,28,68,599,652,.458,1423,296,.822,360,69,69,2498,166,147,1603,PF,63,123,765,POR,.459
7,Lavoy Allen,132,.460,287,2,.154,13,71,24,33,192,134,.447,300,33,.660,50,65,2,1072,119,126,303,PF,24,44,311,TOT,.450
8,Ray Allen,124,.530,234,116,.375,309,143,38,8,182,240,.442,543,105,.905,116,73,9,1936,23,115,701,SG,54,84,205,MIA,.549
9,Tony Allen,193,.527,366,11,.234,47,94,32,19,129,204,.494,413,76,.628,121,55,28,1278,79,121,495,SG,90,90,208,MEM,.507
10,Al-Farouq Aminu,221,.496,446,13,.271,48,114,23,38,367,234,.474,494,91,.664,137,80,65,2045,129,147,572,SF,82,88,496,NOP,.487
11,Lou Amundson,16,.500,32,0,,0,6,31,11,27,16,.500,32,6,.250,24,19,0,185,28,49,38,PF,9,14,55,TOT,.500
12,Chris Andersen,174,.662,263,3,.250,12,19,35,97,250,177,.644,275,120,.710,169,72,0,1396,129,162,477,C,32,53,379,MIA,.649
13,Alan Anderson,110,.464,237,84,.339,248,81,31,11,135,194,.400,485,92,.780,118,78,26,1773,40,147,564,SF,48,62,175,BRK,.487
14,James Anderson,194,.530,366,115,.328,351,149,24,28,241,309,.431,717,77,.726,106,80,62,2309,59,154,810,SG,74,106,300,PHI,.511
15,Ryan Anderson,88,.463,190,67,.409,164,17,25,7,76,155,.438,354,59,.952,62,22,14,795,66,47,436,PF,10,20,142,NOP,.532
16,Giannis Antetokounmpo,132,.440,300,41,.347,118,150,19,61,261,173,.414,418,138,.683,202,77,23,1897,78,173,525,SF,60,122,339,MIL,.463
17,Carmelo Anthony,576,.469,1228,167,.402,415,242,29,51,477,743,.452,1643,459,.848,541,77,77,2982,145,224,2112,PF,95,198,622,NYK,.503
18,Joel Anthony,12,.375,32,0,,0,2,31,12,23,12,.375,32,4,.500,8,33,0,186,15,17,28,C,3,3,38,TOT,.375
19,Pero Antic,67,.545,123,56,.327,171,58,31,12,152,123,.418,294,50,.758,66,50,26,925,57,126,352,C,19,55,209,ATL,.514
20,Trevor Ariza,209,.509,411,180,.407,442,191,28,20,376,389,.456,853,149,.772,193,77,77,2723,99,179,1107,SF,126,132,475,WAS,.562
21,Hilton Armstrong,9,.474,19,0,,0,5,29,4,28,9,.474,19,7,.438,16,15,1,97,19,11,25,C,4,6,47,GSW,.474
22,Darrell Arthur,138,.399,346,24,.375,64,61,25,47,158,162,.395,410,53,.855,62,68,1,1161,52,185,401,SF,39,58,210,DEN,.424
23,Omer Asik,101,.532,190,0,,0,25,27,37,277,101,.532,190,78,.619,126,48,19,968,101,92,280,C,14,59,378,HOU,.532
24,D.J. Augustin,165,.427,386,133,.401,332,313,26,3,115,298,.415,718,201,.885,227,71,9,1939,15,147,930,PG,53,125,130,TOT,.508
25,Gustavo Ayon,52,.510,102,0,,0,28,28,10,83,52,.510,102,8,.400,20,26,14,429,42,47,112,C,25,29,125,ATL,.510
26,Jeff Ayres,101,.580,174,0,,0,60,26,25,169,101,.580,174,38,.691,55,73,10,952,89,146,240,PF,13,63,258,SAS,.580
27,Chris Babb,2,.667,3,6,.222,27,3,23,0,13,8,.267,30,0,,0,14,0,132,4,13,22,SG,6,3,17,BOS,.367
28,Luke Babbitt,24,.407,59,36,.379,95,29,24,11,70,60,.390,154,14,.778,18,27,2,473,18,52,170,PF,7,15,88,NOP,.506
