,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Quincy Acy,100,.606,165,19,.388,49,27,25,24,123,119,.556,214,50,.735,68,59,29,876,65,103,307,PF,29,27,188,SAC,.600
1,Jordan Adams,2,.400,5,0,.000,1,3,21,0,2,2,.333,6,3,.600,5,2,0,15,0,2,7,SG,3,2,2,MEM,.333
2,Steven Adams,261,.613,426,0,,0,62,22,89,314,261,.613,426,114,.582,196,80,80,2014,219,223,636,C,42,84,533,OKC,.613
3,Arron Afflalo,263,.469,561,91,.382,238,144,30,10,243,354,.443,799,110,.840,131,71,57,2371,23,142,909,SG,25,82,266,NYK,.500
4,Alexis Ajinca,150,.478,314,0,.000,1,31,27,36,194,150,.476,315,52,.839,62,59,17,861,75,134,352,C,19,54,269,NOP,.476
5,Cole Aldrich,134,.596,225,0,,0,50,27,68,202,134,.596,225,60,.714,84,60,5,800,86,139,328,C,47,64,288,LAC,.596
6,LaMarcus Aldridge,536,.521,1029,0,.000,16,110,30,81,456,536,.513,1045,259,.858,302,74,74,2261,176,151,1331,PF,38,99,632,SAS,.513
7,Cliff Alexander,5,.500,10,0,,0,0,20,2,4,5,.500,10,0,,0,8,0,36,2,1,10,PF,1,1,6,POR,.500
8,Lavoy Allen,191,.516,370,0,,0,76,26,42,262,191,.516,370,46,.630,73,79,28,1599,162,147,428,PF,26,69,424,IND,.516
9,Tony Allen,200,.468,427,15,.357,42,70,34,18,192,215,.458,469,90,.652,138,64,57,1620,104,175,535,SG,110,78,296,MEM,.474
10,Al-Farouq Aminu,173,.468,370,126,.361,349,138,25,53,401,299,.416,719,115,.737,156,82,82,2341,98,171,839,SF,72,120,499,POR,.503
11,Lou Amundson,19,.358,53,0,,0,12,33,7,26,19,.358,53,14,.519,27,29,0,204,23,44,52,PF,6,15,49,NYK,.358
12,Chris Andersen,34,.586,58,4,.286,14,12,37,13,62,38,.528,72,25,.694,36,27,15,402,36,29,105,C,15,9,98,TOT,.556
13,Alan Anderson,9,.409,22,12,.324,37,14,33,1,26,21,.356,59,11,.733,15,13,0,192,1,25,65,SG,4,2,27,WAS,.458
14,James Anderson,44,.478,92,23,.267,86,41,26,14,73,67,.376,178,22,.759,29,51,15,721,13,54,179,SG,21,42,86,SAC,.441
15,Justin Anderson,49,.533,92,22,.265,83,29,22,25,114,71,.406,175,44,.800,55,55,9,647,18,45,208,SF,19,24,132,DAL,.469
16,Kyle Anderson,126,.488,258,12,.324,37,123,22,29,219,138,.468,295,62,.747,83,78,11,1245,25,97,350,SF,60,59,244,SAS,.488
17,Ryan Anderson,266,.466,571,131,.366,358,73,27,25,265,397,.427,929,199,.873,228,66,7,2008,131,109,1124,PF,38,90,396,NOP,.498
18,Giannis Antetokounmpo,485,.537,904,28,.257,109,345,21,113,499,513,.506,1013,296,.724,409,80,79,2823,113,258,1350,PG,94,208,612,MIL,.520
19,Thanasis Antetokounmpo,3,1.000,3,0,.000,1,0,23,0,1,3,.750,4,0,,0,2,0,6,0,2,6,SF,0,0,1,NYK,.750
20,Carmelo Anthony,462,.463,997,105,.339,310,299,31,38,458,567,.434,1307,334,.829,403,72,72,2530,98,180,1573,SF,62,176,556,NYK,.474
21,Joel Anthony,6,.600,10,0,,0,1,33,12,13,6,.600,10,6,.750,8,19,0,96,8,15,18,C,2,2,21,DET,.600
22,Keith Appling,2,.400,5,0,.000,3,1,23,0,1,2,.250,8,2,1.000,2,5,0,27,0,5,6,PG,1,3,1,ORL,.250
